Number,Name,Year,Theme,Pieces,Minifigs,US Retail Price,US Start Date
60095,Deep Sea Exploration Vessel,2015,City,717,7,119.99,2015-05-18
60080,Spaceport,2015,City,586,5,119.99,2015-05-19
75093,Death Star Final Duel,2015,Star Wars,724,5,79.99,2015-06-01
75094,Imperial Shuttle Tydirium,2015,Star Wars,937,5,99.99,2015-06-01
10248,Ferrari F40,2015,Advanced Models,1158,,99.99,2015-08-02
21302,The Big Bang Theory,2015,Ideas,484,7,59.99,2015-08-02
42036,Street Motorcycle,2015,Technic,375,,39.99,2015-08-02
42039,24 Hours Race Car,2015,Technic,1219,,129.99,2015-08-02
42040,Fire Plane,2015,Technic,578,,49.99,2015-08-02
42042,Crawler Crane,2015,Technic,1401,,149.99,2015-08-02
60096,Deep Sea Operation Base,2015,City,907,5,99.99,2015-08-02
60098,Heavy-Haul Train,2015,City,984,5,199.99,2015-08-02
75904,Mystery Mansion,2015,Scooby-Doo,860,6,89.99,2015-08-08
75902,The Mystery Machine,2015,Scooby-Doo,301,3,29.99,2015-08-29
75099,Rey's Speeder,2015,Star Wars,193,2,19.99,2015-09-05
75102,Poe's X-wing Fighter,2015,Star Wars,717,4,79.99,2015-09-05
75103,First Order Transporter,2015,Star Wars,792,7,89.99,2015-09-05
75105,Millennium Falcon,2015,Star Wars,1329,7,149.99,2015-09-05
75111,Darth Vader,2015,Star Wars,160,,29.99,2015-09-05
21303,WALL-E,2015,Ideas,677,,59.99,2015-09-25
10249,Winter Toy Shop,2015,Advanced Models,898,8,79.99,2015-10-02
21304,Doctor Who,2015,Ideas,623,6,59.99,2015-12-02
5003082,Classic Pirate Minifigure,2015,Pirates,24,1,,
60113,Rally Car,2016,City,104,1,9.99,2015-12-02
10251,Brick Bank,2016,Advanced Models,2380,5,169.99,2016-01-02
21027,Berlin,2016,Architecture,289,,29.99,2016-01-02
31048,Lakeside Lodge,2016,Creator,368,1,29.99,2016-01-02
42050,Drag Racer,2016,Technic,647,,79.99,2016-01-02
42052,Heavy Lift Helicopter,2016,Technic,1042,,139.99,2016-01-02
75114,First Order Stormtrooper,2016,Star Wars,81,,19.99,2016-01-02
75140,Resistance Troop Transporter,2016,Star Wars,646,4,69.99,2016-01-02
75827,Firehouse Headquarters,2016,Ghostbusters,4634,10,349.99,2016-01-02
40165,Minifigure Wedding Favour Set,2016,Miscellaneous,89,2,9.99,2016-03-01
75136,Droid Escape Pod,2016,Star Wars,197,4,24.99,2016-03-01
75137,Carbon-Freezing Chamber,2016,Star Wars,231,3,24.99,2016-03-01
75871,Ford Mustang GT,2016,Speed Champions,185,1,14.99,2016-03-01
75872,Audi R18 e-tron quattro,2016,Speed Champions,166,1,14.99,2016-03-01
75873,Audi R8 LMS ultra,2016,Speed Champions,175,1,14.99,2016-03-01
75874,Chevrolet Camaro Drag Race,2016,Speed Champions,445,3,29.99,2016-03-01
76052,Batman Classic TV Series - Batcave,2016,DC Comics Super Heroes,2526,9,269.99,2016-03-01
21305,Maze,2016,Ideas,769,,69.99,2016-04-02
31049,Twin Spin Helicopter,2016,Creator,326,,29.99,2016-05-22
31051,Lighthouse Point,2016,Creator,528,2,59.99,2016-05-22
31052,Vacation Getaways,2016,Creator,792,2,69.99,2016-05-22
31053,Treehouse Adventures,2016,Creator,387,2,34.99,2016-05-22
60101,Airport Cargo Plane,2016,City,157,2,24.99,2016-05-22
60103,Airport Air Show,2016,City,670,6,89.99,2016-05-22
75149,Resistance X-wing Fighter,2016,Star Wars,740,4,79.99,2016-06-01
