Number,Name,Year,Theme,Pieces,Minifigs,US Retail Price,Running Total,Released,US Start Date,US End Date,Last Updated
8043,Motorized Excavator,2010,Technic,1123,,199.99,16574.00,true,2010-08-09,2012-11-13,2012-10-07 18:22:05
8070,Super Car,2011,Technic,1281,,119.99,16693.99,true,2011-03-05,2012-11-23,2012-10-07 18:19:49
8109,Flatbed Truck,2011,Technic,1115,,99.99,16793.98,true,2011-08-05,2012-11-15,2012-10-07 18:24:58
8258,Crane Truck,2009,Technic,1877,,149.99,16943.97,true,2009-07-01,2010-12-25,2012-10-07 23:45:18
8293,Motor Set,2008,Power Functions,10,,29.99,16973.96,true,2008-06-27,,2013-09-14 23:05:57
8878,Rechargeable Battery Box,2009,Power Functions,1,,49.99,17023.95,true,2009-04-02,,2013-04-06 20:18:33
9392,Quad Bike,2012,Technic,199,,24.99,17048.94,true,2011-12-15,2013-11-29,2012-07-09 03:26:23
9396,Helicopter,2012,Technic,1056,,119.99,17168.93,true,2012-07-23,2013-12-26,2012-10-17 22:42:44
9398,4x4 Crawler,2012,Technic,1327,,199.99,17368.92,true,2012-07-23,2014-12-15,2014-07-01 17:05:48
9489,Endor Rebel Trooper & Imperial Trooper Battle Pack,2012,Star Wars,77,4,12.99,17381.91,true,2012-02-02,2013-11-05,2015-10-13 20:23:11
9492,TIE Fighter,2012,Star Wars,413,4,54.99,17436.90,true,2012-02-02,2014-02-17,2015-10-13 20:23:38
9493,X-wing Starfighter,2012,Star Wars,560,4,59.99,17496.89,true,2012-02-21,2015-01-02,2015-10-13 20:23:48
9495,Gold Leader's Y-wing Starfighter,2012,Star Wars,458,3,49.99,17546.88,true,2012-02-02,2013-11-29,2015-10-13 20:23:59
