Number,Name,Year,Theme,Pieces,Minifigs,US Retail Price,Running Total,Released,US Start Date,US End Date,Last Updated
31026,Bike Shop & Cafe,2014,Creator,1023,3,89.99,4930.54,true,2014-05-27,2015-11-03,2016-05-18 13:18:59
31039,Blue Power Jet,2015,Creator,608,,69.99,5000.53,true,2015-05-18,2016-12-06,2015-02-14 19:21:59
31048,Lakeside Lodge,2016,Creator,368,1,29.99,5030.52,true,2016-01-02,,2016-02-06 01:16:56
31049,Twin Spin Helicopter,2016,Creator,326,,29.99,5060.51,true,2016-05-22,,2016-05-15 16:33:15
31051,Lighthouse Point,2016,Creator,528,2,59.99,5120.50,true,2016-05-22,,2016-07-10 01:08:11
31052,Vacation Getaways,2016,Creator,792,2,69.99,5190.49,true,2016-05-22,2017-11-09,2016-11-02 20:27:11
31053,Treehouse Adventures,2016,Creator,387,2,34.99,5225.48,true,2016-05-22,,2016-07-10 01:10:10
31058,Mighty Dinosaurs,2017,Creator,174,,14.99,5240.47,true,2016-11-27,,2016-11-10 14:19:35
31062,Robo Explorer,2017,Creator,205,,19.99,5260.46,true,2017-01-02,,2016-12-05 03:16:04
31066,Space Shuttle Explorer,2017,Creator,285,1,29.99,5290.45,true,2017-05-29,,2017-05-16 13:54:32
31070,Turbo Track Racer,2017,Creator,664,,59.99,5350.44,true,2017-05-29,,2017-05-16 13:54:40
31313,Mindstorms EV3,2013,Mindstorms,601,,349.99,5700.43,true,2013-09-02,,2013-06-29 05:21:50
40165,Minifigure Wedding Favour Set,2016,Miscellaneous,89,2,9.99,5710.42,true,2016-03-01,,2016-02-13 03:11:30
40172,Brick Calendar,2017,Miscellaneous,278,1,19.99,5730.41,true,2017-01-17,2017-04-05,2016-12-21 20:57:55
40176,Scarif Stormtrooper,2017,Star Wars,25,1,,,true,,,2017-08-03 20:56:06
40178,Exclusive VIP Set,2017,Promotional,205,2,,,true,,,2017-10-30 08:56:13
40205,Little Elf Helpers,2016,Seasonal,238,,9.99,5740.40,true,2016-11-20,2016-12-10,2016-11-25 19:08:41
40206,Santa,2016,Seasonal,155,,9.99,5750.39,true,2016-11-20,2016-12-10,2017-11-14 19:54:47
40220,London Bus,2016,Creator,118,,,,true,,,2017-10-20 02:14:11
40221,Fountain,2016,Creator,105,2,,,true,,,2016-08-17 08:47:13
40222,Christmas Build-Up,2016,Seasonal,250,,,,true,,,2016-11-26 23:56:34
40223,Snowglobe,2016,Seasonal,215,1,,,true,,,2016-11-25 01:52:23
40251,Mini Piggy Bank,2017,Creator,248,,,,true,,,2017-08-03 21:00:02
40253,Christmas Build-Up,2017,Seasonal,254,,,,true,,,2017-11-14 21:07:52
40268,R3-M2,2017,Star Wars,21,1,,,true,,,2017-10-29 23:16:56
40308,Lester,2017,Promotional,5,,,,true,,,2017-10-16 13:21:57
41485,Finn,2017,BrickHeadz,91,,9.99,5760.38,true,2017-11-01,,2017-10-06 20:51:28
41486,Captain Phasma,2017,BrickHeadz,127,,9.99,5770.37,true,2017-11-01,,2017-10-06 20:50:45
41487,Lloyd,2017,BrickHeadz,102,,9.99,5780.36,true,2017-09-24,,2017-09-27 04:51:11
41488,Master Wu,2017,BrickHeadz,89,,9.99,5790.35,true,2017-09-24,,2017-09-27 04:51:02
41585,Batman,2017,BrickHeadz,91,,9.99,5800.34,true,2017-03-01,,2017-02-28 20:45:39
41586,Batgirl,2017,BrickHeadz,99,,9.99,5810.33,true,2017-03-01,,2017-02-28 20:46:14
41587,Robin,2017,BrickHeadz,101,,9.99,5820.32,true,2017-03-01,,2017-02-28 20:46:24
41588,The Joker,2017,BrickHeadz,151,,9.99,5830.31,true,2017-03-01,,2017-02-28 20:46:38
41589,Captain America,2017,BrickHeadz,79,,9.99,5840.30,true,2017-03-01,,2017-02-28 20:46:59
41590,Iron Man,2017,BrickHeadz,96,,9.99,5850.29,true,2017-03-01,,2017-02-28 20:47:11
41591,Black Widow,2017,BrickHeadz,143,,9.99,5860.28,true,2017-03-01,,2017-02-28 20:47:22
41592,The Hulk,2017,BrickHeadz,93,,9.99,5870.27,true,2017-03-01,,2017-02-28 20:47:32
41593,Captain Jack Sparrow,2017,BrickHeadz,109,,9.99,5880.26,true,2017-04-02,,2017-03-20 16:13:09
41594,Captain Armando Salazar,2017,BrickHeadz,118,,9.99,5890.25,true,2017-04-02,,2017-03-20 16:12:53
41595,Belle,2017,BrickHeadz,139,,9.99,5900.24,true,2017-03-01,,2017-02-28 20:48:33
41596,Beast,2017,BrickHeadz,116,,9.99,5910.23,true,2017-03-01,,2017-02-28 20:48:45
42000,Grand Prix Racer,2013,Technic,1141,,129.99,6040.22,true,2013-03-01,2014-12-14,2013-04-12 01:05:24
42007,Moto Cross Bike,2013,Technic,253,,39.99,6080.21,true,2012-12-28,2014-12-17,2013-04-12 01:06:11
42009,Mobile Crane MK II,2013,Technic,2606,,219.99,6300.20,true,2013-08-01,2015-11-08,2013-12-07 19:21:07
42025,Cargo Plane,2014,Technic,1297,,139.99,6440.19,true,2014-08-02,2015-12-01,2014-07-20 09:40:43
42028,Bulldozer,2014,Technic,617,,49.99,6490.18,true,2014-08-02,2015-10-29,2014-10-11 19:47:11
42029,Customised Pick-Up Truck,2014,Technic,1063,,99.99,6590.17,true,2014-08-09,2015-11-09,2014-10-05 09:48:19
42030,Volvo L350F Wheel Loader,2014,Technic,1636,,249.99,6840.16,true,2014-08-20,2016-10-26,2014-08-02 17:03:33
42036,Street Motorcycle,2015,Technic,375,,39.99,6880.15,true,2015-08-02,2016-12-07,2014-12-21 00:20:22
42039,24 Hours Race Car,2015,Technic,1219,,129.99,7010.14,true,2015-08-02,2016-12-18,2014-12-27 09:14:19
42040,Fire Plane,2015,Technic,578,,49.99,7060.13,true,2015-08-02,2016-10-28,2015-07-31 09:04:39
42041,Race Truck,2015,Technic,608,,69.99,7130.12,true,2015-01-01,2016-11-17,2017-11-13 21:03:25
42042,Crawler Crane,2015,Technic,1401,,149.99,7280.11,true,2015-08-02,2016-11-21,2016-05-18 13:16:34
42050,Drag Racer,2016,Technic,647,,79.99,7360.10,true,2016-01-02,,2016-11-02 20:29:20
42052,Heavy Lift Helicopter,2016,Technic,1042,,139.99,7500.09,true,2016-01-02,,2016-02-06 09:45:17
42053,Volvo EW160E,2016,Technic,1166,,119.99,7620.08,true,2016-08-01,2017-10-21,2016-07-28 14:06:38
42055,Bucket Wheel Excavator,2016,Technic,3929,,279.99,7900.07,true,2016-08-01,,2017-04-10 01:55:23
42056,Porsche 911 GT3 RS,2016,Technic,2704,,299.99,8200.06,true,2016-07-30,,2016-05-25 05:32:13
42063,BMW R 1200 GS Adventure,2017,Technic,603,,59.99,8260.05,true,2017-02-17,,2016-11-09 02:27:18
45501,DC Rechargeable Battery,2013,Education,,,84.99,8345.04,true,2014-12-30,,2013-06-29 17:57:05
45504,EV3 Ultrasonic Sensor,2013,Mindstorms,1,,29.99,8375.03,true,2014-12-30,,2014-08-04 12:13:21
45505,EV3 Gyro Sensor,2013,Mindstorms,1,,29.99,8405.02,true,2015-01-29,,2013-12-01 04:04:08
45514,Cable Pack,2013,Education,7,,14.99,8420.01,true,2014-01-04,,2015-01-31 03:56:03
45517,Transformer 10V DC,2015,Mindstorms,1,,29.99,8450.00,true,2015-04-15,,2015-11-17 06:21:29
4993,Cool Convertible,2008,Creator,648,,49.99,8499.99,true,2008-05-26,2010-11-18,2012-10-04 17:59:24
5001622,LEGO Store Employee,2013,Promotional,5,1,,,true,,,2017-09-02 23:08:38
5002812,Classic Spaceman Minifigure,2014,Space,19,2,,,true,,,2015-09-01 04:24:51
5003082,Classic Pirate Minifigure,2015,Pirates,24,1,,,true,,,2015-09-01 04:25:37
5004419,Classic Knights Minifigure,2016,Castle,47,1,,,true,,,2016-08-02 03:01:24
5004420,Toy Soldier,2016,Seasonal,34,,,,true,,,2016-11-13 03:21:29
5004468,Iconic Easter Minifigure,2016,Seasonal,4,1,,,true,,,2016-04-04 23:43:46
5004930,Accessory pack,2017,The LEGO Batman Movie,41,1,,,true,,,2017-01-05 16:43:07
5004932,Travel Building Suitcase,2017,Miscellaneous,41,1,,,true,,,2017-08-07 00:17:41
5004938,NINJAGO Minifigure Collection,2017,Promotional,29,,,,true,,,2017-10-20 22:01:29
5004939,The LEGO Batman Movie Minifigure Collection,2017,Promotional,27,4,,,true,,,2017-10-20 22:01:46
5004941,Classic Minifigure Collection,2017,Promotional,18,,,,true,,,2017-10-20 22:03:00
5005156,Gingerbread Man,2016,Seasonal,3,,,,true,,,2016-12-12 14:00:05
5005326,Canvas Tote Bag,2017,Gear,,,,,true,,,2017-08-03 20:57:31
5892,Sonic Boom,2010,Creator,539,,59.99,8559.98,true,2010-05-29,2011-11-30,2012-10-08 04:37:42
60051,High-Speed Passenger Train,2014,City,610,3,149.99,8709.97,true,2014-05-27,,2014-08-13 03:48:23
60052,Cargo Train,2014,City,888,4,199.99,8909.96,true,2014-05-29,,2014-08-18 23:46:06
60080,Spaceport,2015,City,586,5,119.99,9029.95,true,2015-05-19,2016-11-29,2016-10-20 20:41:31
60084,Racing Bike Transporter,2015,City,178,2,19.99,9049.94,true,2015-01-01,2016-11-11,2015-01-14 04:23:18
60095,Deep Sea Exploration Vessel,2015,City,717,7,119.99,9169.93,true,2015-05-18,2016-12-10,2015-08-07 05:03:21
60096,Deep Sea Operation Base,2015,City,907,5,99.99,9269.92,true,2015-08-02,2016-12-11,2015-12-19 21:19:21
60098,Heavy-Haul Train,2015,City,984,5,199.99,9469.91,true,2015-08-02,,2015-12-19 21:19:38
60101,Airport Cargo Plane,2016,City,157,2,24.99,9494.90,true,2016-05-22,,2016-08-01 23:16:23
60103,Airport Air Show,2016,City,670,6,89.99,9584.89,true,2016-05-22,,2016-08-14 05:53:25
60104,Airport Passenger Terminal,2016,City,694,6,99.99,9684.88,true,2016-08-01,,2016-08-20 00:49:42
60113,Rally Car,2016,City,104,1,9.99,9694.87,true,2015-12-02,2016-11-20,2016-02-01 02:22:55
60133,City Advent Calendar,2016,City,290,7,29.99,9724.86,true,2016-09-17,2016-11-20,2016-09-21 07:22:09
60145,Buggy,2017,City,81,1,9.99,9734.85,true,2016-11-27,,2016-11-07 21:08:59
60146,Stunt Truck,2017,City,91,1,9.99,9744.84,true,2016-11-27,,2016-11-07 21:08:41
60155,City Advent Calendar,2017,City,248,,29.99,9774.83,true,2017-09-02,2017-11-02,2017-10-16 23:46:02
6745,Propeller Power,2009,Creator,247,,19.99,9794.82,true,2008-12-05,2011-11-25,2012-10-07 17:52:34
6747,Race Rider,2009,Creator,266,,19.99,9814.81,true,2008-12-28,2010-11-05,2012-10-07 17:52:55
6753,Highway Transport,2009,Creator,1294,,89.99,9904.80,true,2009-06-04,2010-12-14,2012-10-08 04:40:01
70413,The Brick Bounty,2015,Pirates,745,7,99.99,10004.79,true,2015-03-01,2015-11-27,2015-03-29 02:43:53
70807,MetalBeard's Duel,2014,The LEGO Movie,412,3,34.99,10039.78,true,2013-12-30,2015-10-24,2013-12-21 04:45:54
70810,MetalBeard's Sea Cow,2014,The LEGO Movie,2741,5,249.99,10289.77,true,2014-03-05,2015-10-16,2014-02-24 20:37:09
70814,Emmet's Construct-o-Mech,2014,The LEGO Movie,708,4,59.99,10349.76,true,2014-06-03,2015-10-23,2014-06-01 03:16:14
70816,"Benny's Spaceship, Spaceship, SPACESHIP!",2014,The LEGO Movie,940,7,99.99,10449.75,true,2014-06-03,2015-10-26,2014-06-01 03:17:39
70817,Batman & Super Angry Kitty Attack,2015,The LEGO Movie,115,3,9.99,10459.74,true,2015-01-01,2015-11-27,2014-12-28 03:21:57
70818,Double-Decker Couch,2015,The LEGO Movie,197,5,14.99,10474.73,true,2015-01-01,2015-11-23,2014-12-28 03:22:00
70900,The Joker Balloon Escape,2017,The LEGO Batman Movie,124,2,14.99,10489.72,true,2017-01-02,,2016-12-01 22:48:35
70901,Mr. Freeze Ice Attack,2017,The LEGO Batman Movie,201,3,19.99,10509.71,true,2016-11-27,,2016-12-02 23:30:09
70902,Catwoman Catcycle Chase,2017,The LEGO Batman Movie,139,3,19.99,10529.70,true,2017-01-02,,2016-12-01 22:48:39
70903,The Riddler Riddle Racer,2017,The LEGO Batman Movie,254,5,29.99,10559.69,true,2017-01-02,,2016-12-01 22:48:42
70904,Clayface Splat Attack,2017,The LEGO Batman Movie,448,2,34.99,10594.68,true,2017-01-02,,2016-12-01 22:48:43
70905,The Batmobile,2017,The LEGO Batman Movie,581,5,59.99,10654.67,true,2016-11-27,,2016-12-02 23:30:56
70906,The Joker Notorious Lowrider,2017,The LEGO Batman Movie,433,3,49.99,10704.66,true,2016-11-27,,2016-12-02 23:29:21
70907,Killer Croc Tail-Gator,2017,The LEGO Batman Movie,460,4,69.99,10774.65,true,2017-01-02,,2016-12-01 22:48:50
70908,The Scuttler,2017,The LEGO Batman Movie,775,6,79.99,10854.64,true,2017-01-02,,2016-12-01 22:48:52
70909,Batcave Break-In,2017,The LEGO Batman Movie,1047,7,99.99,10954.63,true,2016-11-27,,2016-12-01 22:48:54
70910,Scarecrow Special Delivery,2017,The LEGO Batman Movie,204,3,19.99,10974.62,true,2017-01-02,,2016-12-04 15:36:14
70911,The Penguin Arctic Roller,2017,The LEGO Batman Movie,305,2,29.99,11004.61,true,2017-01-02,,2016-12-04 15:38:51
70912,Arkham Asylum,2017,The LEGO Batman Movie,1628,13,149.99,11154.60,true,2017-01-02,,2016-12-01 22:49:27
70913,Scarecrow Fearful Face-off,2017,The LEGO Batman Movie,141,2,14.99,11169.59,true,2017-06-02,,2017-05-16 22:38:16
70915,Two-Face Double Demolition,2017,The LEGO Batman Movie,564,4,59.99,11229.58,true,2017-06-02,,2017-05-16 22:38:18
71006,The Simpsons House,2014,The Simpsons,2523,6,199.99,11429.57,true,2014-02-03,,2014-01-17 05:36:33
71012,LEGO Minifigures - The Disney Series - Complete,2016,Collectable Minifigures,95,18,,,true,,,2016-04-28 14:16:11
71013,LEGO Minifigures - Series 16 - Complete,2016,Collectable Minifigures,106,17,,,true,,,2016-07-26 18:34:29
71016,Kwik-E-Mart,2015,The Simpsons,2179,6,199.99,11629.56,true,2015-05-02,,2015-04-15 10:07:09
71017,LEGO Minifigures - The LEGO Batman Movie Series - Complete,2017,Collectable Minifigures,125,20,,,true,,,2016-12-14 14:38:18
71019,LEGO Minifigures - The LEGO NINJAGO Movie Series - Random bag,2017,Collectable Minifigures,,,,,true,,,2017-07-30 18:04:12
71040,Disney Castle,2016,Disney,4080,7,349.99,11979.55,true,2016-10-06,,2017-02-19 20:51:31
71267,The Goonies Level Pack,2017,Dimensions,118,1,29.99,12009.54,true,2017-05-10,2017-10-11,2017-02-12 19:18:32
71349,Beetlejuice,2017,Dimensions,56,1,14.99,12024.53,true,2017-09-13,,2017-09-10 09:45:16
7292,Propeller Adventures,2012,Creator,241,,19.99,12044.52,true,2011-11-11,2013-12-02,2012-06-09 03:00:00
